FISH-QUANT	
RESULTS OF SPOT DETECTION PERFORMED IN BATCH MODE ON 20-Mar-2019 
COMMENT	Batch detection
ANALYSIS-SETTINGS 	exp_param_set_MATURE_190320.txt
FILE	CELL	AREA_cell	AREA_nuc	N_total	N_thres_Total	N_thres_Nuc
RGGkif5a-g02_w597_STACK__outline.txt	Cell_1	32816.5	0	138	133	133
RGGkif5a-g02_w597_STACK__outline.txt	Cell_2	57152	0	8	5	5
RGGkif5a-g03_w597_STACK__outline.txt	Cell_1	84079	0	108	105	105
RGGkif5a-g03_w597_STACK__outline.txt	Cell_2	27348.5	0	2	2	2
RGGkif5a-g04_w597_STACK__outline.txt	Cell_1	49656.5	0	11	11	11
RGGkif5a-g04_w597_STACK__outline.txt	Cell_2	48319.5	0	10	10	10
RGGkif5a-g05_w597_STACK__outline.txt	Cell_1	59922	0	468	415	415
RGGkif5a-g05_w597_STACK__outline.txt	Cell_2	33497.5	0	4	3	3
RGGkif5a-g06_w597_STACK__outline.txt	Cell_1	50999.5	0	539	367	367
RGGkif5a-g06_w597_STACK__outline.txt	Cell_2	13278	0	8	7	7
RGGkif5a-g06_w597_STACK__outline.txt	Cell_3	55539	0	539	445	445
RGGkif5a-g06_w597_STACK__outline.txt	Cell_4	47951.5	0	8	8	8
RGGkif5a-g07_w597_STACK__outline.txt	Cell_1	58700.5	0	1188	826	826
RGGkif5a-g07_w597_STACK__outline.txt	Cell_2	51165.5	0	15	9	9
RGGkif5a-g07_w597_STACK__outline.txt	Cell_3	41658.5	0	1026	791	791
RGGkif5a-g07_w597_STACK__outline.txt	Cell_4	50442	0	22	17	17
RGGkif5a-g08_w597_STACK__outline.txt	Cell_1	33145	0	587	527	527
RGGkif5a-g08_w597_STACK__outline.txt	Cell_2	39454.5	0	30	27	27
RGGkif5a-g08_w597_STACK__outline.txt	Cell_3	45246	0	506	476	476
RGGkif5a-g08_w597_STACK__outline.txt	Cell_4	21373	0	6	6	6
RGGkif5a-g09_w597_STACK__outline.txt	Cell_1	67845	0	536	485	485
RGGkif5a-g09_w597_STACK__outline.txt	Cell_2	35547.5	0	8	5	5
RGGkif5a-g09_w597_STACK__outline.txt	Cell_3	64365.5	0	1182	990	990
RGGkif5a-g09_w597_STACK__outline.txt	Cell_4	16534	0	63	52	52
RGGkif5a-g10_w597_STACK__outline.txt	Cell_1	76909.5	0	357	342	342
RGGkif5a-g10_w597_STACK__outline.txt	Cell_2	36391.5	0	25	23	23
RGGkif5a-g11_w597_STACK__outline.txt	Cell_1	48590.5	0	819	644	644
RGGkif5a-g11_w597_STACK__outline.txt	Cell_2	32067	0	28	26	26
RGGkif5a-g12_w597_STACK__outline.txt	Cell_1	42069	0	566	529	529
RGGkif5a-g12_w597_STACK__outline.txt	Cell_2	24441.5	0	16	15	15
RGGkif5a-g13_w597_STACK__outline.txt	Cell_1	90199	0	744	712	712
RGGkif5a-g13_w597_STACK__outline.txt	Cell_2	26454.5	0	24	23	23
RGGkif5a-g13_w597_STACK__outline.txt	Cell_3	58537	0	558	523	523
RGGkif5a-g13_w597_STACK__outline.txt	Cell_4	42063.5	0	10	10	10
