FILE,CELL,AREA_cell,AREA_nuc,N_total,N_thres_Total,N_thres_Nuc
RGGkif5a-g07_w597_STACK__outline.txt,Cell_2,51165.5,0,2,1,1
RGGkif5a-g07_w597_STACK__outline.txt,Cell_3,41658.5,0,481,248,248
RGGkif5a-g07_w597_STACK__outline.txt,Cell_4,50442,0,9,8,8
RGGkif5a-g08_w597_STACK__outline.txt,Cell_1,33145,0,255,139,139
RGGkif5a-g08_w597_STACK__outline.txt,Cell_2,39454.5,0,8,6,6
RGGkif5a-g08_w597_STACK__outline.txt,Cell_3,45246,0,313,207,207
RGGkif5a-g08_w597_STACK__outline.txt,Cell_4,21373,0,0,0,0
RGGkif5a-g09_w597_STACK__outline.txt,Cell_1,67845,0,285,177,177
RGGkif5a-g09_w597_STACK__outline.txt,Cell_2,35547.5,0,2,2,2
RGGkif5a-g09_w597_STACK__outline.txt,Cell_3,64365.5,0,733,354,354
RGGkif5a-g09_w597_STACK__outline.txt,Cell_4,16534,0,18,11,11
RGGkif5a-g10_w597_STACK__outline.txt,Cell_1,76909.5,0,245,186,186
RGGkif5a-g10_w597_STACK__outline.txt,Cell_2,36391.5,0,11,8,8
RGGkif5a-g11_w597_STACK__outline.txt,Cell_1,48590.5,0,432,226,226
RGGkif5a-g11_w597_STACK__outline.txt,Cell_2,32067,0,20,16,16
RGGkif5a-g12_w597_STACK__outline.txt,Cell_1,42069,0,319,188,188
RGGkif5a-g12_w597_STACK__outline.txt,Cell_2,24441.5,0,6,3,3
RGGkif5a-g13_w597_STACK__outline.txt,Cell_1,90199,0,488,316,316
RGGkif5a-g13_w597_STACK__outline.txt,Cell_2,26454.5,0,19,13,13
RGGkif5a-g13_w597_STACK__outline.txt,Cell_3,58537,0,349,232,232
RGGkif5a-g13_w597_STACK__outline.txt,Cell_4,42063.5,0,9,6,6
